,company,typename,screen_size,ram,memory,gpu,weight,price,px_h,px_v,screen_info,processor_brand,processor_freq,processor_details,gpu_brand,os_used,ssd_capacity,hdd_capacity,ssd_count,hdd_count,ssd_present,hdd_present,total_storage
63,HP,Notebook,15.6,4,500GB HDD,AMD Radeon 520,1.86,23373.4,1366,768,,Intel,2,Core i3 6006U,AMD,windows,0,500,0,1,FALSE,TRUE,500
64,HP,Notebook,14,4,32GB SSD,Intel HD Graphics 400,1.44,12201.12,1366,768,,Intel,1.6,Celeron Dual Core N3060,Intel,windows,32,0,1,0,TRUE,FALSE,32
65,Lenovo,Notebook,15.6,4,1TB HDD,Intel HD Graphics 620,1.9,29250.72,1920,1080,Full HD,Intel,2.5,Core i5 7200U,Intel,windows,0,1024,0,1,FALSE,TRUE,1024
66,Asus,Gaming,17.3,12,1TB HDD,Nvidia GeForce GTX 1050 Ti,3,50562.72,1920,1080,Full HD,Intel,2.8,Core i7 7700HQ,Nvidia,linux,0,1024,0,1,FALSE,TRUE,1024
67,Microsoft,Ultrabook,13.5,4,128GB SSD,Intel HD Graphics 620,1.25,58021.92,2256,1504,Touchscreen,Intel,2.5,Core i5 7200U,Intel,windows,128,0,1,0,TRUE,FALSE,128
68,Dell,Ultrabook,13.3,64,256GB SSD,AMD Radeon 530,1.4,50882.4,1920,1080,IPS Panel Full HD,Intel,1.8,Core i7 8550U,AMD,windows,256,0,1,0,TRUE,FALSE,256
69,Dell,Notebook,15.6,8,256GB SSD,AMD Radeon 530,2.2,46353.6,1920,1080,Full HD,Intel,1.8,Core i7 8550U,AMD,windows,256,0,1,0,TRUE,FALSE,256
70,MSI,Gaming,17.3,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,2.7,58341.6,1920,1080,Full HD,Intel,2.5,Core i5 7300HQ,Nvidia,windows,128,1024,1,1,TRUE,TRUE,1152
71,Acer,Notebook,14,8,1TB HDD,Intel HD Graphics 520,2.1,20725.92,1366,768,,Intel,2,Core i3 6006U,Intel,windows,0,1024,0,1,FALSE,TRUE,1024
72,Asus,Gaming,15.6,8,1TB HDD,Nvidia GeForce GTX 1050,2.2,50562.72,1920,1080,Full HD,Intel,2.8,Core i7 7700HQ,Nvidia,windows,0,1024,0,1,FALSE,TRUE,1024
73,Lenovo,Notebook,15.6,8,2TB HDD,Intel HD Graphics 620,2.2,27652.32,1920,1080,Full HD,Intel,2.5,Core i5 7200U,Intel,no_preinstalled_os,0,2048,0,1,FALSE,TRUE,2048
74,Dell,Notebook,15.6,8,128GB SSD +  1TB HDD,Intel UHD Graphics 620,2.02,45554.4,1920,1080,Full HD,Intel,1.8,Core i7 8550U,Intel,windows,128,1024,1,1,TRUE,TRUE,1152
75,Acer,Notebook,15.6,4,1TB HDD,Nvidia GeForce MX130,2.2,28238.4,1920,1080,Full HD,Intel,2.7,Core i3 7130U,Nvidia,windows,0,1024,0,1,FALSE,TRUE,1024
76,HP,Notebook,17.3,8,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,2.5,52054.56,1920,1080,Full HD,Intel,1.6,Core i5 8250U,Nvidia,windows,128,1024,1,1,TRUE,TRUE,1152
77,Dell,Ultrabook,15.6,8,256GB SSD,Intel UHD Graphics 620,1.88,58403.4,1920,1080,IPS Panel Full HD,Intel,1.6,Core i5 8250U,Intel,windows,256,0,1,0,TRUE,FALSE,256
78,Apple,Ultrabook,12,8,512GB SSD,Intel HD Graphics 615,0.92,80452.8,2304,1440,IPS Panel Retina Display,Intel,1.3,Core i5,Intel,mac_os,512,0,1,0,TRUE,FALSE,512
79,HP,Notebook,14,8,256GB SSD,Intel HD Graphics 620,1.63,45820.8,1920,1080,Full HD,Intel,1.6,Core i5 8250U,Intel,windows,256,0,1,0,TRUE,FALSE,256
80,Lenovo,Notebook,15.6,4,128GB SSD,AMD R4 Graphics,2.2,21258.72,1920,1080,Full HD,AMD,2.5,A6-Series 9220,AMD,windows,128,0,1,0,TRUE,FALSE,128
81,Acer,Notebook,15.6,4,1TB HDD,AMD Radeon R5,2.1,21045.6,1366,768,,AMD,3,A9-Series 9420,AMD,windows,0,1024,0,1,FALSE,TRUE,1024
82,Dell,Gaming,15.6,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,2.65,71874.72,1920,1080,IPS Panel Full HD,Intel,2.8,Core i7 7700HQ,Nvidia,windows,128,1024,1,1,TRUE,TRUE,1152
83,HP,Ultrabook,15.6,8,256GB SSD,Nvidia GeForce GTX 940MX,1.83,37242.72,1920,1080,IPS Panel Full HD,Intel,1.8,Core i7 8550U,Nvidia,windows,256,0,1,0,TRUE,FALSE,256
84,HP,Notebook,15.6,8,256GB SSD,Intel HD Graphics 620,1.96,31914.19,1920,1080,Full HD,Intel,2.5,Core i5 7200U,Intel,windows,256,0,1,0,TRUE,FALSE,256
85,Asus,Gaming,15.6,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,2.2,77202.72,1920,1080,IPS Panel Full HD,Intel,2.8,Core i7 7700HQ,Nvidia,windows,128,1024,1,1,TRUE,TRUE,1152
86,Dell,Ultrabook,13.3,8,256GB SSD,Intel UHD Graphics 620,1.21,87858.72,1920,1080,IPS Panel Full HD,Intel,1.8,Core i7 8550U,Intel,windows,256,0,1,0,TRUE,FALSE,256
87,Asus,Gaming,15.6,8,1TB HDD,AMD Radeon RX 560,2.45,37242.72,1920,1080,Full HD,AMD,3,FX 9830P,AMD,windows,0,1024,0,1,FALSE,TRUE,1024
88,Acer,Notebook,15.6,2,1TB HDD,Nvidia GeForce MX150,2.2,36709.92,1920,1080,Full HD,Intel,1.8,Core i7 8550U,Nvidia,windows,0,1024,0,1,FALSE,TRUE,1024
89,HP,Notebook,13.3,16,512GB SSD,Intel UHD Graphics 620,1.49,63776.16,1920,1080,Full HD,Intel,1.8,Core i7 8550U,Intel,windows,512,0,1,0,TRUE,FALSE,512
90,Dell,Gaming,15.6,8,256GB SSD,Nvidia GeForce GTX 1060,2.65,63669.6,1920,1080,Full HD,Intel,2.5,Core i5 7300HQ,Nvidia,windows,256,0,1,0,TRUE,FALSE,256
91,Asus,Ultrabook,14,8,256GB SSD,Intel HD Graphics 620,1.25,55890.72,1920,1080,Full HD,Intel,2.7,Core i7 7500U,Intel,windows,256,0,1,0,TRUE,FALSE,256
92,Acer,2 in 1 Convertible,13.3,8,256GB SSD,Intel UHD Graphics 620,1.5,45128.16,1920,1080,IPS Panel Full HD / Touchscreen,Intel,1.6,Core i5 8250U,Intel,windows,256,0,1,0,TRUE,FALSE,256
93,Dell,Notebook,15.6,8,1TB HDD,AMD Radeon R5 M430,2.2,31962.67,1920,1080,Full HD,Intel,2.7,Core i7 7500U,AMD,linux,0,1024,0,1,FALSE,TRUE,1024
94,Dell,Notebook,15.6,4,256GB SSD,AMD Radeon R5 M430,2.2,25840.8,1920,1080,Full HD,Intel,2,Core i3 6006U,AMD,linux,256,0,1,0,TRUE,FALSE,256
95,Asus,Notebook,15.6,6,256GB SSD,Nvidia GeForce 920M,2,30742.56,1920,1080,Full HD,Intel,2.4,Core i3 7100U,Nvidia,windows,256,0,1,0,TRUE,FALSE,256
96,HP,Gaming,15.6,12,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,2.62,66546.72,1920,1080,IPS Panel Full HD,Intel,2.8,Core i7 7700HQ,Nvidia,windows,128,1024,1,1,TRUE,TRUE,1152
97,HP,Notebook,15.6,8,256GB SSD,AMD Radeon 530,1.91,38308.32,1920,1080,Full HD,Intel,2.7,Core i7 7500U,AMD,windows,256,0,1,0,TRUE,FALSE,256
98,HP,Notebook,15.6,4,500GB HDD,AMD Radeon R2,2.1,18594.72,1920,1080,Full HD,AMD,1.5,E-Series E2-9000e,AMD,windows,0,500,0,1,FALSE,TRUE,500
99,Dell,Notebook,15.6,8,1TB HDD,AMD Radeon 520,2.2,34472.16,1920,1080,Full HD,Intel,1.6,Core i5 8250U,AMD,linux,0,1024,0,1,FALSE,TRUE,1024
100,HP,Ultrabook,13.3,8,256GB SSD,Nvidia GeForce MX150,1.38,59620.32,1920,1080,IPS Panel Full HD,Intel,2.7,Core i7 7500U,Nvidia,windows,256,0,1,0,TRUE,FALSE,256
101,Microsoft,Ultrabook,13.5,8,256GB SSD,Intel HD Graphics 620,1.25,71395.2,2256,1504,Touchscreen,Intel,2.5,Core i5 7200U,Intel,windows,256,0,1,0,TRUE,FALSE,256
102,HP,Notebook,14,6,256GB SSD,Nvidia GeForce 940MX,1.58,35111.52,1920,1080,IPS Panel Full HD,Intel,2.5,Core i5 7200U,Nvidia,windows,256,0,1,0,TRUE,FALSE,256
103,Lenovo,Notebook,15.6,4,1TB HDD,Intel HD Graphics 520,1.85,22105.87,1920,1080,Full HD,Intel,2,Core i3 6006U,Intel,windows,0,1024,0,1,FALSE,TRUE,1024
104,Asus,Ultrabook,14,8,256GB SSD,Nvidia GeForce 940MX,1.3,63563.04,1920,1080,IPS Panel Full HD,Intel,2.7,Core i7 7500U,Nvidia,windows,256,0,1,0,TRUE,FALSE,256
105,MSI,Gaming,15.6,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,2.2,69210.72,1920,1080,Full HD,Intel,2.8,Core i7 7700HQ,Nvidia,windows,256,1024,1,1,TRUE,TRUE,1280
106,Lenovo,Notebook,14,8,256GB SSD,Intel HD Graphics 620,1.58,78854.4,1920,1080,IPS Panel Full HD,Intel,2.7,Core i7 7500U,Intel,windows,256,0,1,0,TRUE,FALSE,256
107,Asus,Ultrabook,15.6,16,256GB SSD +  1TB HDD,Nvidia GeForce MX150,1.5,67239.36,1920,1080,Full HD,Intel,1.8,Core i7 8550U,Nvidia,windows,256,1024,1,1,TRUE,TRUE,1280
108,Dell,Ultrabook,13.3,8,256GB SSD,Intel Iris Plus Graphics 640,1.23,73473.12,3200,1800,Quad HD+ / Touchscreen,Intel,2.4,Core i7 7560U,Intel,windows,256,0,1,0,TRUE,FALSE,256
109,Lenovo,2 in 1 Convertible,13.3,8,256GB SSD,Intel HD Graphics 620,1.37,74538.72,1920,1080,IPS Panel Full HD / Touchscreen,Intel,2.5,Core i5 7200U,Intel,windows,256,0,1,0,TRUE,FALSE,256
110,HP,Notebook,14,4,500GB HDD,Intel UHD Graphics 620,1.63,38468.16,1366,768,IPS Panel,Intel,1.6,Core i5 8250U,Intel,windows,0,500,0,1,FALSE,TRUE,500
111,Dell,Ultrabook,13.3,8,256GB SSD,Intel UHD Graphics 620,1.21,86793.12,1920,1080,IPS Panel Full HD,Intel,1.6,Core i5 8250U,Intel,windows,256,0,1,0,TRUE,FALSE,256
112,HP,Notebook,14,8,512GB SSD,Intel UHD Graphics 620,1.63,57755.52,1920,1080,Full HD,Intel,1.8,Core i7 8550U,Intel,windows,512,0,1,0,TRUE,FALSE,512
113,Dell,Notebook,15.6,8,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,2.16,60223.98,1920,1080,IPS Panel Full HD,Intel,1.8,Core i7 8550U,Nvidia,windows,256,1024,1,1,TRUE,TRUE,1280
114,Asus,Notebook,17.3,4,1TB HDD,Nvidia GeForce 920MX,2,30049.92,1920,1080,Full HD,Intel,2,Core i3 6006U,Nvidia,windows,0,1024,0,1,FALSE,TRUE,1024
115,Asus,Notebook,15.6,8,256GB SSD,Nvidia GeForce 940MX,1.7,59567.04,1920,1080,Full HD,Intel,1.8,Core i7 8550U,Nvidia,windows,256,0,1,0,TRUE,FALSE,256
116,Acer,Notebook,15.6,6,1TB HDD,Intel HD Graphics 620,2.1,25521.12,1920,1080,IPS Panel Full HD / Touchscreen,Intel,2.4,Core i3 7100U,Intel,windows,0,1024,0,1,FALSE,TRUE,1024
117,MSI,Gaming,15.6,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,1.8,119427.12,1920,1080,Full HD,Intel,2.8,Core i7 7700HQ,Nvidia,windows,256,2048,1,1,TRUE,TRUE,2304
118,Lenovo,Notebook,15.6,8,256GB SSD,Nvidia GeForce 940MX,2.2,33513.12,1920,1080,Full HD,Intel,2.5,Core i5 7200U,Nvidia,no_preinstalled_os,256,0,1,0,TRUE,FALSE,256
119,HP,Notebook,17.3,16,512GB SSD,Nvidia GeForce 930MX ,2.5,67718.88,1920,1080,Full HD,Intel,1.8,Core i7 8550U,Nvidia,windows,512,0,1,0,TRUE,FALSE,512
120,Acer,Notebook,15.6,4,256GB SSD,AMD Radeon R5,2.1,24029.28,1366,768,,AMD,3,A9-Series 9420,AMD,windows,256,0,1,0,TRUE,FALSE,256
121,HP,Notebook,14,8,1TB HDD,Intel UHD Graphics 620,1.63,43263.36,1920,1080,Full HD,Intel,1.6,Core i5 8250U,Intel,windows,0,1024,0,1,FALSE,TRUE,1024
122,Asus,Notebook,14,4,64GB SSD,AMD Radeon R2,1.65,14811.31,1366,768,,AMD,1.5,E-Series 6110,AMD,windows,64,0,1,0,TRUE,FALSE,64
123,Dell,Notebook,17.3,16,256GB SSD +  2TB HDD,AMD Radeon 530,2.8,74378.88,1920,1080,Full HD,Intel,1.8,Core i7 8550U,AMD,windows,256,2048,1,1,TRUE,TRUE,2304
124,HP,Notebook,17.3,8,256GB SSD,Intel UHD Graphics 620,2.5,49443.84,1920,1080,Full HD,Intel,1.6,Core i5 8250U,Intel,windows,256,0,1,0,TRUE,FALSE,256
125,Dell,Notebook,15.6,8,1TB HDD,AMD Radeon R7 M445,2.36,34045.39,1366,768,,Intel,2.5,Core i5 7200U,AMD,windows,0,1024,0,1,FALSE,TRUE,1024
126,Dell,Notebook,15.6,4,1TB HDD,AMD Radeon R5 M430,2.2,23922.72,1920,1080,Full HD,Intel,2,Core i3 6006U,AMD,windows,0,1024,0,1,FALSE,TRUE,1024
127,Acer,Ultrabook,14,8,256GB SSD,Intel UHD Graphics 620,1.6,47099.52,1920,1080,IPS Panel Full HD,Intel,1.8,Core i7 8550U,Intel,windows,256,0,1,0,TRUE,FALSE,256
128,Acer,Notebook,15.6,4,256GB SSD,Nvidia GeForce MX130,2.1,30476.16,1920,1080,Full HD,Intel,2.7,Core i3 7130U,Nvidia,windows,256,0,1,0,TRUE,FALSE,256
129,HP,Notebook,15.6,8,1TB HDD,Intel HD Graphics 620,2.05,31861.44,1366,768,,Intel,2.7,Core i7 7500U,Intel,windows,0,1024,0,1,FALSE,TRUE,1024
